specimen_id	class
468120757	unknown
585946742	unknown
485058595	unknown
541540569	unknown
560678143	unknown
569723405	unknown
545612828	unknown
561532710	unknown
548408551	unknown
321707905	unknown
569825715	unknown
588402092	unknown
478888052	unknown
475586130	unknown
471088062	unknown
548459652	unknown
508410761	unknown
486052980	unknown
607124114	unknown
396968721	unknown
582644266	unknown
313862306	unknown
479704527	unknown
488386504	unknown
571700636	unknown
580162374	unknown
571311039	unknown
481001895	unknown
507918877	unknown
517647182	unknown
330080937	unknown
555697303	unknown
557037024	unknown
557998843	unknown
485880739	unknown
598628992	unknown
565855793	unknown
325941643	unknown
336676216	unknown
469793303	unknown
514824979	unknown
596887423	unknown
471143169	unknown
486893033	unknown
528614014	unknown
528015670	unknown
584231995	unknown
323834998	unknown
571379222	unknown
542137330	unknown
324257146	unknown
473011949	unknown
471819401	unknown
561517025	unknown
564346637	unknown
528042185	unknown
526727406	unknown
329550137	unknown
327644217	unknown
509881736	unknown
476054887	unknown
485835055	unknown
525018757	unknown
570946690	unknown
571691416	unknown
616647103	unknown
321906005	unknown
482435718	unknown
557874460	unknown
586379590	unknown
502367941	unknown
583104750	unknown
497611660	unknown
571430815	unknown
623185845	unknown
586071425	unknown
526950199	unknown
614659629	unknown
534141324	unknown
502614426	unknown
485466109	unknown
605660220	unknown
525133308	unknown
561940338	unknown
539640410	unknown
478396248	unknown
586559181	unknown
589760138	unknown
476562817	unknown
502269786	unknown
473543792	unknown
314900022	unknown
484742372	unknown
526668864	unknown
476751360	unknown
577218602	unknown
561432315	unknown
480351780	unknown
587710671	unknown
539537094	unknown
478828646	unknown
566761793	unknown
539653924	unknown
313862022	unknown
476135066	unknown
476049169	unknown
486896849	unknown
480116737	unknown
318331342	unknown
478107198	unknown
487664663	unknown
576120017	unknown
341442651	unknown
473593847	unknown
521409057	unknown
478497530	unknown
476126528	unknown
318733871	unknown
482644550	unknown
591268268	unknown
613396614	unknown
523748610	unknown
539661667	unknown
520454345	unknown
464212183	unknown
643575207	unknown
567007144	unknown
502999078	unknown
515771244	unknown
476048909	unknown
519749342	unknown
609435731	unknown
643572206	unknown
475623964	unknown
571427524	unknown
565880475	unknown
473611755	unknown
512322162	unknown
535708196	unknown
510715606	unknown
578485753	unknown
530731648	unknown
571527806	unknown
561435279	unknown
571435969	unknown
578774163	unknown
469992918	unknown
565120091	unknown
524689239	unknown
574059157	unknown
586072464	unknown
313862373	unknown
480640846	unknown
580007431	unknown
479721491	unknown
517330781	unknown
486110216	unknown
471085676	unknown
571471295	unknown
476087653	unknown
486146717	unknown
508282493	unknown
613468354	unknown
482516713	unknown
566647353	unknown
490382353	unknown
524850271	unknown
611598198	unknown
503286448	unknown
520631294	unknown
555019563	unknown
559387643	unknown
478058328	unknown
490259231	unknown
526734407	unknown
580005568	unknown
564349611	unknown
313862167	unknown
563180078	unknown
476616076	unknown
479905853	unknown
503823047	unknown
323865917	unknown
476263004	unknown
554779051	unknown
596020931	unknown
611610514	unknown
508378649	unknown
560753350	unknown
585952606	unknown
531520401	unknown
566678900	unknown
473601979	unknown
565415071	unknown
574067499	unknown
582613001	unknown
485837504	unknown
508980706	unknown
603402458	unknown
324025297	unknown
480169178	unknown
567731428	unknown
476131588	unknown
585830272	unknown
589427435	unknown
521938313	unknown
595562635	unknown
475585451	unknown
483101699	unknown
539542640	unknown
478793814	unknown
603423462	unknown
474660482	unknown
397353539	unknown
571464200	unknown
576084692	unknown
488674910	unknown
593312584	unknown
475622680	unknown
320668879	unknown
320654829	unknown
571429412	unknown
565888394	unknown
565462089	unknown
571624532	unknown
478892782	unknown
422738880	unknown
534303031	unknown
592952680	unknown
586073850	unknown
569965244	unknown
324025371	unknown
595568262	unknown
526714733	unknown
528636794	unknown
594091004	unknown
576095991	unknown
485161419	unknown
586072188	unknown
548457754	unknown
473564515	unknown
485184849	unknown
527952884	unknown
471087830	unknown
527116037	unknown
584682764	unknown
479225052	unknown
528602977	unknown
324521027	unknown
571654895	unknown
585947309	unknown
476451456	unknown
333785962	unknown
576132767	unknown
614197612	unknown
571525618	unknown
487661754	unknown
570896413	unknown
561934585	unknown
487099387	unknown
555241875	unknown
545604343	unknown
531523484	unknown
571306690	unknown
569072334	unknown
557261437	unknown
395830185	unknown
529898751	unknown
512319604	unknown
476754635	unknown
547325858	unknown
537266147	unknown
471129934	unknown
557252022	unknown
508405843	unknown
558211203	unknown
514767977	unknown
478499902	unknown
585841870	unknown
386970660	unknown
475068599	unknown
589128331	unknown
589442285	unknown
509003464	unknown
517353438	unknown
569820026	unknown
539014038	unknown
485931158	unknown
474267418	unknown
570438732	unknown
527891102	unknown
575774870	unknown
569849486	unknown
478888083	unknown
488687894	unknown
486132712	unknown
475549284	unknown
509515969	unknown
566541912	unknown
370351753	unknown
585925172	unknown
536951541	unknown
575642695	unknown
588712191	unknown
333785935	unknown
486025194	unknown
484571248	unknown
580014328	unknown
354190013	unknown
595570553	unknown
611623402	unknown
464198958	unknown
565407476	unknown
579626068	unknown
475744706	unknown
527941296	unknown
567312865	unknown
475459689	unknown
561553133	unknown
502978383	unknown
479220013	unknown
478110866	unknown
488420599	unknown
483068687	unknown
354833767	unknown
313861608	unknown
528687520	unknown
479770916	unknown
476086391	unknown
478586295	unknown
541545716	unknown
508309649	unknown
517673596	unknown
574036994	unknown
475585413	unknown
485909730	unknown
637038252	unknown
561985849	unknown
477880128	unknown
471410185	unknown
585832440	unknown
527826878	unknown
484564503	unknown
321023397	unknown
569095789	unknown
596052605	unknown
565459685	unknown
571718621	unknown
476104386	unknown
567742660	unknown
555241040	unknown
349621141	unknown
567320213	unknown
579662957	unknown
572609108	unknown
562541627	unknown
590558808	unknown
529845713	unknown
513800575	unknown
471141261	unknown
488418027	unknown
586072783	unknown
471789504	unknown
501850666	unknown
479728896	unknown
485911892	unknown
585944237	unknown
529863215	unknown
596036453	unknown
561469082	unknown
576107598	unknown
584254833	unknown
324493977	unknown
614635228	unknown
487667205	unknown
569958754	unknown
569810649	unknown
488677994	unknown
528638057	unknown
483111429	unknown
574734127	unknown
397351623	unknown
487176969	unknown
557864274	unknown
490205998	unknown
561465305	unknown
571450870	unknown
501799874	unknown
481093525	unknown
614230805	unknown
485835016	unknown
531526539	unknown
560965993	unknown
561325425	unknown
475049291	unknown
513510227	unknown
323452245	unknown
509617624	unknown
643582610	unknown
565209132	unknown
528022041	unknown
526531616	unknown
583146274	unknown
484635029	unknown
548421866	unknown
486560376	unknown
484559000	unknown
485912047	unknown
554807924	unknown
475625477	unknown
488698341	unknown
560992553	unknown
475622793	unknown
475057898	unknown
569723367	unknown
580145037	unknown
563226105	unknown
322197160	unknown
569844159	unknown
541563728	unknown
587045566	unknown
573622646	unknown
585805211	unknown
314822529	unknown
507101551	unknown
502366405	unknown
515524026	unknown
467703703	unknown
396608557	unknown
382982932	unknown
318808427	unknown
476216637	unknown
469610831	unknown
473020156	unknown
516362762	unknown
571666289	unknown
613442532	unknown
488117124	unknown
528623840	unknown
554454458	unknown
515986607	unknown
529889679	unknown
471786879	unknown
474626527	unknown
571500474	unknown
614777438	unknown
571709783	unknown
486111903	unknown
485836906	unknown
333604946	unknown
469801569	unknown
536306115	unknown
471077468	unknown
501845630	unknown
508417989	unknown
569494755	unknown
480087928	unknown
573404307	unknown
555341581	unknown
531520637	unknown
482690728	unknown
480114344	unknown
565417112	unknown
571735073	unknown
584680861	unknown
517343484	unknown
