neuron_name	class	archive
PV_Morphology_shRNA_Nek7_B1N3_S9L	basket	Rico
PV_Morphology_shRNA_Nek7_B3N18_S4L	basket	Rico
PV_Morphology_shRNA_Nek7_B2N18_S5L	basket	Rico
PV_Morphology_shRNA_Nek7_B5N18_S4L	basket	Rico
PV_Morphology_shRNA_Control_B3N5_S11L	basket	Rico
PV_Morphology_shRNA_Control_B1N10_S7L	basket	Rico
PV_Morphology_shRNA_Control_B2N16_S11L	basket	Rico
PV_Morphology_shRNA_Control_B2N19_S8L2	basket	Rico
PV_Morphology_shRNA_Control_B2N19_S8L1	basket	Rico
PV_Morphology_shRNA_Control_B1N10_S4L2	basket	Rico
PV_Morphology_shRNA_Control_B3N10_S9L	basket	Rico
PV_Morphology_shRNA_Control_B1N10_S4L	basket	Rico
PV_Morphology_shRNA_Control_B2N16_S5L	basket	Rico
PV_Morphology_shRNA_Control_B1N16_S10L	basket	Rico
PV_Morphology_shRNA_Control_B1N5_S6L	basket	Rico
PV_Morphology_shRNA_Control_B1N16_S8L	basket	Rico
PV_Morphology_shRNA_Control_B1N10_S7L2	basket	Rico
PV_Morphology_shRNA_Control_B1N16_S5L	basket	Rico
PV_Morphology_shRNA_Control_B2N10_S5L	basket	Rico
PV_Morphology_shRNA_Control_B1N10_-S7L	basket	Rico
PV_Morphology_shRNA_Control_B2N19_S7R	basket	Rico
PV_Morphology_shRNA_Control_B4N10_S6R	basket	Rico
PV_Morphology_shRNA_Control_B1N5_S8R	basket	Rico
PV_Morphology_shRNA_Control_B3N5_S6R	basket	Rico
PV_Morphology_shRNA_Control_B2N16_S7R	basket	Rico
PV_Morphology_shRNA_Control_B1N5_-S7R	basket	Rico
PV_Morphology_shRNA_Control_B3N10_S5R	basket	Rico
PV_Morphology_shRNA_Control_B3N5_S4R	basket	Rico
PV_Morphology_shRNA_Control_B2N19_S4R	basket	Rico
PV_Morphology_shRNA_Control_B3N16_S8R	basket	Rico
PV_Morphology_shRNA_Control_B3N10_S5R2	basket	Rico
PV_Morphology_shRNA_Control_B3N16_S5R	basket	Rico
PV_Morphology_shRNA_Control_B2N10_S8R	basket	Rico
PV_Morphology_shRNA_Control_B3N16_S8R2	basket	Rico
PV_Morphology_shRNA_Nek7_B2N18_S7R	basket	Rico
PV_Morphology_shRNA_Nek7_B1N6_S7R	basket	Rico
PV_Morphology_shRNA_Nek7_B1N6_S6R	basket	Rico
PV_Morphology_shRNA_Nek7_B4N6_S5R	basket	Rico
PV_Morphology_shRNA_Nek7_B1N6_S10R	basket	Rico
PV_Morphology_shRNA_Nek7_B5N18_S5R	basket	Rico
PV_Morphology_shRNA_Nek7_B3N18_S5R	basket	Rico
PV_Morphology_shRNA_Nek7_B1N6_S8R2	basket	Rico
PV_Morphology_shRNA_Nek7_B3N18_S4R	basket	Rico
PV_Morphology_shRNA_Nek7_B4N18_S10R	basket	Rico
PV_Morphology_shRNA_Nek7_B2N6_S9R	basket	Rico
PV_Morphology_shRNA_Nek7_B1N6_S12R	basket	Rico
PV_Morphology_shRNA_Nek7_B1N3_S9R	basket	Rico
PV_Morphology_shRNA_Nek7_B3N18_S8R	basket	Rico
PV_Morphology_shRNA_Nek7_B3N18_S9R	basket	Rico
PV_Morphology_shRNA_Nek7_B1N6_S8R	basket	Rico
cell5-01-11-D	basket	Topolnik
c3271015	basket	Topolnik
sec-1	basket	Priya
sec-8	basket	Priya
sec-9	basket	Priya
sec-14	basket	Priya
sec-2	basket	Priya
sec-3	basket	Priya
sec-10	basket	Priya
sec-6	basket	Priya
SEC-7	basket	Priya
sec-11	basket	Priya
sec-5	basket	Priya
Purkinje-slice-ageP43-6	Purkinje	Dusart
Purkinje-slice-ageP37-5	Purkinje	Dusart
Purkinje-slice-ageP35-4	Purkinje	Dusart
Purkinje-slice-ageP35-2	Purkinje	Dusart
Purkinje-slice-ageP35-1	Purkinje	Dusart
Purkinje-slice-ageP35-3	Purkinje	Dusart
180523_E1_KO	Purkinje	Hess
180524_E4_KO	Purkinje	Hess
180523_E4_KO	Purkinje	Hess
180524_E1_KO	Purkinje	Hess
180611_E1_WT	Purkinje	Hess
180525_E1_WT	Purkinje	Hess
180612_E2_WT	Purkinje	Hess
180525_E4_WT	Purkinje	Hess
AA0990	Purkinje	MouseLight
AA0991	Purkinje	MouseLight
AA0967	Purkinje	MouseLight
AA0973	Purkinje	MouseLight
AA0984	Purkinje	MouseLight
AA0980	Purkinje	MouseLight
AA0974	Purkinje	MouseLight
AA0993	Purkinje	MouseLight
AA0986	Purkinje	MouseLight
AA0969	Purkinje	MouseLight
AA0975	Purkinje	MouseLight
AA0981	Purkinje	MouseLight
AA0965	Purkinje	MouseLight
AA0976	Purkinje	MouseLight
AA0966	Purkinje	MouseLight
AA0972	Purkinje	MouseLight
AA0971	Purkinje	MouseLight
AA0961	Purkinje	MouseLight
AA0988	Purkinje	MouseLight
AA0983	Purkinje	MouseLight
AA0970	Purkinje	MouseLight
AA0968	Purkinje	MouseLight
AA0952	Purkinje	MouseLight
AA0964	Purkinje	MouseLight
AA0977	Purkinje	MouseLight
AA0985	Purkinje	MouseLight
AA0963	Purkinje	MouseLight
AA0962	Purkinje	MouseLight
AA0979	Purkinje	MouseLight
AA0978	Purkinje	MouseLight
AA0982	Purkinje	MouseLight
Ctrl-4_PC10	Purkinje	Grasselli_Hansel
Ctrl-2_PC8	Purkinje	Grasselli_Hansel
Ctrl-1_PC9	Purkinje	Grasselli_Hansel
Ctrl-2_PC2-binary-trace	Purkinje	Grasselli_Hansel
Ctrl-4_PC8	Purkinje	Grasselli_Hansel
Ctrl-1_PC11	Purkinje	Grasselli_Hansel
Ctrl-1_PC1	Purkinje	Grasselli_Hansel
L7SK2-2_PC2	Purkinje	Grasselli_Hansel
L7SK2-1_PC11-binary-trace	Purkinje	Grasselli_Hansel
L7SK2-1_PC8-binary-trace	Purkinje	Grasselli_Hansel
L7SK2-3_PC7	Purkinje	Grasselli_Hansel
L7SK2-1_PC22	Purkinje	Grasselli_Hansel
L7SK2-2_PC9	Purkinje	Grasselli_Hansel
L7SK2-3_PC3	Purkinje	Grasselli_Hansel
L7SK2-1_PC19	Purkinje	Grasselli_Hansel
L7SK2-3_PC9	Purkinje	Grasselli_Hansel
L7SK2-1_PC13	Purkinje	Grasselli_Hansel
10-f7_-d5a	Purkinje	Kana_Desland
10_F12-_-D4	Purkinje	Kana_Desland
10_F13_D-5	Purkinje	Kana_Desland
10_f9-d1b	Purkinje	Kana_Desland
10-f4-d5-a	Purkinje	Kana_Desland
10-f7_-d2a	Purkinje	Kana_Desland
10_f1_d1-1_1a	Purkinje	Kana_Desland
10-f7_-d1b	Purkinje	Kana_Desland
10_f2_-d3-a	Purkinje	Kana_Desland
10_F14_D-1a	Purkinje	Kana_Desland
10_f3_-d3-a	Purkinje	Kana_Desland
10-f5_-d4-b	Purkinje	Kana_Desland
10-f2-d-5a	Purkinje	Kana_Desland
10_F17_-D3	Purkinje	Kana_Desland
10_F16_-D-4	Purkinje	Kana_Desland
10_F15_-D-1b	Purkinje	Kana_Desland
10_f7_-d-4	Purkinje	Kana_Desland
10-f5-d5-	Purkinje	Kana_Desland
10_F12-D-2a	Purkinje	Kana_Desland
10_f3_-d2-a	Purkinje	Kana_Desland
10_f9-d3b	Purkinje	Kana_Desland
10-f5_-d3-b	Purkinje	Kana_Desland
10_F13_D-6	Purkinje	Kana_Desland
10-f6_-d4a	Purkinje	Kana_Desland
10_F14_D-4	Purkinje	Kana_Desland
10-f6-d2-a	Purkinje	Kana_Desland
10_F14_D-3	Purkinje	Kana_Desland
10_F15_-D-1a	Purkinje	Kana_Desland
10_f2_-d4-a	Purkinje	Kana_Desland
10-f4-d2-a	Purkinje	Kana_Desland
10_f3_-d3-b	Purkinje	Kana_Desland
10_f9-_-d4	Purkinje	Kana_Desland
10_f2_-d2-a	Purkinje	Kana_Desland
10-f3_-d4b	Purkinje	Kana_Desland
10_f1_d1-1_1b	Purkinje	Kana_Desland
10_f4_-d-3	Purkinje	Kana_Desland
10_F11-_D4	Purkinje	Kana_Desland
10_f1_d4-b	Purkinje	Kana_Desland
